a52dec 0.7.4-9
libevdev 1.5.5-1
libevent 2.0.22-2
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfbclient 2.5.6.27020-2
libffi 3.2.1-2
libfm 1.2.4-2
libfm-extra 1.2.4-2
libfm-gtk2 1.2.4-2
libfontenc 1.1.3-1
libftdi 1.3-2
libgadu 1.12.1-2
libgcrypt 1.7.3-1
libgcrypt15 1.5.6-1
libgdiplus 4.2-1
libgee 0.18.1-1
libgexiv2 0.10.4-2
libgksu 2.0.12-7
libglade 2.6.4-5
libglademm 2.6.7-4
libgme 0.6.0-5
libgnome 2.32.1-6
libgnome-data 2.32.1-6
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomeui 2.24.5-2
libgooglepinyin 0.1.2-3
libgoom2 2k4-3
libgpg-error 1.25-1
libgphoto2 2.5.11-1
libgpod 0.8.3-4
libgssglue 0.4-2
libgtop 2.34.1-1
libgudev 230-1
libgusb 0.2.9-1
libibus 1.5.14-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-4
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk2 12.10.1-7
libinput 1.5.2-1
libixion 0.11.1-3
libjpeg-turbo 1.5.1-1
libjpeg6-turbo 1.5.1-1
libkate 0.4.1-5
libkeybinder2 0.3.1-1
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-2
liblouis 3.0.0-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.19-1
libmatroska 1.4.5-1
libmbim 1.14.0-2
libmcrypt 2.5.8-4
libmikmod 3.3.9-1
libmm-glib 1.6.4-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-6
libmtp 1.1.12-1
libmwaw 0.3.8-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.19-1
libnfnetlink 1.0.1-2
libnftnl 1.0.6-1
libnice 0.1.13-1
libnl 3.2.28-1
libnm-glib 1.4.2-2
libnotify 0.7.7-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.2-3
libotr 4.1.1-1
libpagemaker 0.0.3-1
libpaper 1.1.24-9
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libphobos-devel 1:2.072.1-1
libpinyin 1.6.0-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.26-2
libpng12 1.2.56-4
libproxy 0.4.13-1
libpulse 9.0-1
libpurple 2.11.0-1
libpwquality 1.3.0-1
libqmi 1.16.2-1
libqzeitgeist 0.8.0-6
libraw 0.17.2-1
libraw1394 2.1.2-1
libreoffice-fresh 5.2.3-3
librevenge 0.0.4-1
librsvg 2:2.40.16-1
librtmp0 2.4-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.8.0-1
libsystemd 232-4
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.7-1
libtiff4 3.9.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtorrent-rasterbar 1:1.1.1-4
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunique 1.1.6-6
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-2
libuv 1.10.1-1
libva 1.7.3-1
libva-intel-driver 1.7.3-1
libvdpau 1.1.1-2
libvisio 0.1.5-3
libvisual 0.4.0-6
libvncserver 0.9.10-4
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libvpx1.3 1.3.0-1
libwacom 0.22-1
libwbclient 4.5.1-2
libwebp 0.5.1-1
libwmf 0.2.8.4-13
